146,69,47,55
208,96,42,54
229,113,47,46
218,116,52,53
155,64,62,61
102,48,50,66
113,73,52,65
216,114,45,53
158,49,48,63
226,127,57,44
199,90,44,56
169,50,43,48
222,54,42,51
234,64,45,47
197,47,47,47
115,42,51,48
59,42,52,57
78,91,41,56
93,127,49,59
194,60,48,73
112,116,49,74
110,110,63,61
136,89,47,62
154,78,46,69
114,72,56,60
93,73,60,63
105,66,50,65
217,82,46,58
221,99,45,53
169,74,47,40
104,39,42,51
57,40,53,58
50,57,63,63
160,68,51,75
206,82,42,67
139,65,60,59
168,62,54,63
104,35,49,61
137,53,60,73
